name,price,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics,link_image
Intel Core i7-12700F,247.0,12,2.1,4.9,Alder Lake,65,,https://m.media-amazon.com/images/I/51AqEkc2BuL._AC_SX466_.jpg
Intel Core i5-9600K,166.0,6,3.7,4.6,Coffee Lake Refresh,95,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/61izuBZSVOL._AC_SX466_.jpg
Intel Core Ultra 5 225F,190.83,10,3.3,4.9,Arrow Lake,65,,https://m.media-amazon.com/images/I/51o21HXnyuL._AC_SX466_.jpg
Intel Core i7-11700K,293.99,8,3.6,5.0,Rocket Lake,125,Intel UHD Graphics 750,https://m.media-amazon.com/images/I/51NlTpm+7KL._AC_SX466_.jpg
Intel Core i3-12100,113.58,4,3.3,4.3,Alder Lake,60,Intel UHD Graphics 730,https://m.media-amazon.com/images/I/51Xik7NRvJL._AC_SX522_.jpg
Intel Core i5-10400,139.99,6,2.9,4.3,Comet Lake,65,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/51eHNGHFMXL._AC_SX522_.jpg
Intel Core i7-8700,188.47,6,3.2,4.6,Coffee Lake,65,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/51PvtXTGT0L._AC_SX522_.jpg
Intel Core i3-14100,119.95,4,3.5,4.7,Raptor Lake Refresh,60,Intel UHD Graphics 730,https://m.media-amazon.com/images/I/51GDQG+wUGL._AC_SX522_.jpg
Intel Core i3-13100F,85.34,4,3.4,4.5,Raptor Lake,58,,https://m.media-amazon.com/images/I/51ugNYlDT1L._AC_SX522_.jpg
Intel Pentium E5700,14.99,2,3.0,,Wolfdale,65,,https://m.media-amazon.com/images/I/61dZUuXIU3L._AC_SX522_.jpg
Intel Core i9-10900K,548.99,10,3.7,5.3,Comet Lake,125,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/51klBAsxGHL._AC_SX466_.jpg
Intel Core i5-13400,164.05,10,2.5,4.6,Raptor Lake,65,Intel UHD Graphics 730,https://m.media-amazon.com/images/I/61zccOnimHL._AC_SX466_.jpg
Intel Core i7-7700,102.5,4,3.6,4.2,Kaby Lake,65,Intel HD Graphics 630,https://m.media-amazon.com/images/I/61vkuZN5JsL._AC_SX466_.jpg
Intel Core i7-13700F,255.0,16,2.1,5.2,Raptor Lake,65,,https://m.media-amazon.com/images/I/51EL514uLrL._AC_SX466_.jpg
Intel Core i5-6500,87.13,4,3.2,3.6,Skylake,65,Intel HD Graphics 530,https://m.media-amazon.com/images/I/51XzIVYaucL._AC_SX466_.jpg
AMD Ryzen 5 5500GT,141.92,6,3.6,4.4,Zen 3,65,Radeon Vega 7,https://m.media-amazon.com/images/I/61c6fimxtXL._AC_SX466_.jpg
Intel Core i9-13900KF,435.0,24,3.0,5.8,Raptor Lake,125,,https://m.media-amazon.com/images/I/61-+pgXU1vL._AC_SX466_.jpg
AMD Ryzen 5 4600G,,6,3.7,4.2,Zen 2,65,Radeon Vega 7,https://m.media-amazon.com/images/I/51f2hkWjTlL._AC_SX466_.jpg
AMD Ryzen 5 9600,467.55,6,3.8,5.2,Zen 5,65,Radeon,https://m.media-amazon.com/images/I/61RfWUr4kvL._AC_SX466_.jpg
Intel Core Ultra 5 235,264.99,14,3.4,5.0,Arrow Lake,65,Intel Xe,https://m.media-amazon.com/images/I/51JJfDCTQ3L._AC_SX466_.jpg
Intel Core i7-4790K,,4,4.0,4.4,Haswell Refresh,88,Intel HD Graphics 4600,https://m.media-amazon.com/images/I/51k9DlVz1QL._AC_.jpg
Intel Core i5-8400,178.89,6,2.8,4.0,Coffee Lake,65,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/61f9PJBb53L._AC_SX466_.jpg
Intel Core i7-6700,123.0,4,3.4,4.0,Skylake,65,Intel HD Graphics 530,https://m.media-amazon.com/images/I/812W+uzw4sL._AC_SX466_.jpg
Intel Core Ultra 5 225,213.01,10,3.3,4.9,Arrow Lake,65,Intel Xe,https://m.media-amazon.com/images/I/613nf5pLwjL._AC_SX466_.jpg
AMD Ryzen 5 3500X,,6,3.6,4.1,Zen 2,65,,https://m.media-amazon.com/images/I/51So7GoGvxL._AC_SX466_.jpg
Intel Core i7-14700,306.55,20,2.1,5.4,Raptor Lake Refresh,65,Intel UHD Graphics 770,https://m.media-amazon.com/images/I/51o7dHJfi3L._AC_SX466_.jpg
AMD Ryzen 5 1600 (14nm),115.0,6,3.2,3.6,Zen,65,,https://m.media-amazon.com/images/I/51aCN2BHxjL._AC_SX466_.jpg
Intel Core i9-11900K,449.0,8,3.5,5.3,Rocket Lake,125,Intel UHD Graphics 750,https://m.media-amazon.com/images/I/71diouNMRHL._AC_SX466_.jpg
Intel Core i7-10700F,325.26,8,2.9,4.8,Comet Lake,65,,https://m.media-amazon.com/images/I/51honjJxV7L._AC_SY741_.jpg
Intel Core i3-10100F,100.0,4,3.6,4.3,Comet Lake,65,,https://m.media-amazon.com/images/I/61m1lZf82OL._AC_SX466_.jpg
Intel Core i7-11700F,229.99,8,2.5,4.9,Rocket Lake,65,,https://m.media-amazon.com/images/I/71uDPxmJgyL._AC_SX466_.jpg
