name,price,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics,link_image
Intel Core i5-2500,,4,3.3,,Sandy Bridge,95,Intel HD Graphics 2000,https://m.media-amazon.com/images/I/71r2pmdJjnL._AC_SX466_.jpg
Intel Celeron E3400,18.98,2,2.6,,Wolfdale,65,,https://m.media-amazon.com/images/I/61mLWjewyvL._AC_SX466_.jpg
AMD Ryzen 5 3600,,6,3.6,4.2,Zen 2,65,,https://m.media-amazon.com/images/I/616VM20+AzL._AC_SX679_.jpg
Intel Core i7-6700,395.05,4,3.4,4.0,Skylake,65,Intel HD Graphics 530,https://m.media-amazon.com/images/I/812W+uzw4sL._AC_SX466_.jpg
Intel Core i3-2120,170.0,2,3.3,,Sandy Bridge,65,Intel HD Graphics 2000,https://m.media-amazon.com/images/I/71JtVhCT-FL._AC_SX466_.jpg
Intel Core i3-4170,,2,3.7,,Haswell Refresh,54,Intel HD Graphics 4400,https://m.media-amazon.com/images/I/71TAF2Z73uL._AC_SX466_.jpg
AMD EPYC 4344P,345.99,8,3.8,5.3,Zen 4,65,Radeon,https://m.media-amazon.com/images/I/51sUNMCtDpL._AC_SX466_.jpg
Intel Core i9-7920X,170.66,12,2.9,4.4,Skylake,140,,https://m.media-amazon.com/images/I/917LrxnqUxL._AC_SX466_.jpg
Intel Xeon E5-2620,36.75,6,2.0,,Sandy Bridge,95,,https://m.media-amazon.com/images/I/716IebqZNEL._AC_SX466_.jpg
Intel Core i9-9980XE,1498.95,18,3.0,4.4,Skylake,165,,https://m.media-amazon.com/images/I/51xxm7JkJ6L._AC_SX466_.jpg
AMD Ryzen 3 1200 (12nm),70.0,4,3.1,3.4,Zen+,65,,https://m.media-amazon.com/images/I/61L6qbhLx0L._AC_SX466_.jpg
AMD Ryzen 5 5600T,,6,3.5,4.5,Zen 3,65,,https://m.media-amazon.com/images/I/51So7GoGvxL._AC_SX466_.jpg
Intel Core i5-4430,83.0,4,3.0,,Haswell,84,Intel HD Graphics 4600,https://m.media-amazon.com/images/I/51EO3vvyfvL._AC_SX466_.jpg
Intel Core i7-920,80.0,4,2.66,,Nehalem,130,,https://m.media-amazon.com/images/I/71-6qFQHhZS._AC_SX466_.jpg
Intel Core i7-4960X Extreme Edition,775.04,6,3.6,4.0,Ivy Bridge,130,,https://m.media-amazon.com/images/I/91++fq52iVL._AC_SY679_.jpg
Intel Core i5-4670,119.88,4,3.4,,Haswell,84,Intel HD Graphics 4600,https://m.media-amazon.com/images/I/51EO3vvyfvL._AC_SX466_.jpg
AMD Threadripper 1900X,240.0,8,3.8,4.0,Zen,180,,https://m.media-amazon.com/images/I/914ssKT2VQL._AC_SX466_.jpg
Intel Xeon E5-2630 V3,169.95,8,2.4,3.2,Haswell,85,,https://m.media-amazon.com/images/I/81xX+NjvaIL._AC_SX466_.jpg
Intel Core i5-9600K,,6,3.7,4.6,Coffee Lake Refresh,95,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/61izuBZSVOL._AC_SX466_.jpg
Intel Core i7-6950X,328.19,10,3.0,3.5,Broadwell,140,,https://m.media-amazon.com/images/I/617UtL3ozXL._AC_SX466_.jpg
AMD A8-9600,,4,3.1,3.4,Excavator,65,Radeon R7 (on-die),https://m.media-amazon.com/images/I/21V-2UchAPL._AC_.jpg
Intel Core i7-5930K,,6,3.5,3.7,Haswell,140,,https://m.media-amazon.com/images/I/91i9PLJOdyL._AC_SX466_.jpg
AMD Ryzen 5 2400G,,4,3.6,3.9,Zen,65,Radeon Vega 11,https://m.media-amazon.com/images/I/81ewjd+T6rL._AC_SX466_.jpg
AMD FX-6100,72.8,6,3.3,,Bulldozer,95,,https://m.media-amazon.com/images/I/61PUL+sNoBL._AC_SX466_.jpg
Intel Core i7-13700T,,16,1.4,4.9,Raptor Lake,35,,https://m.media-amazon.com/images/I/61QIlqafQWL._AC_SX466_.jpg
Intel Core i5-750,69.0,4,2.66,,Nehalem,95,,https://m.media-amazon.com/images/I/71UwqS5sKCL._AC_SX466_.jpg
Intel Xeon E5-2697 V4,,18,2.3,3.6,Broadwell,145,,https://m.media-amazon.com/images/I/71UF2OuqI9L._AC_SX466_.jpg
AMD Athlon II X4 640,53.01,4,3.0,,K10,95,,https://m.media-amazon.com/images/I/71peXz8OgzL._AC_SX466_.jpg
AMD Ryzen 9 3900,,12,3.1,,Zen 2,65,,https://m.media-amazon.com/images/I/51S-lEYQZJL._AC_SX466_.jpg
Intel Core i3-8350K,135.0,4,4.0,,Coffee Lake,91,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/61kohX2+keL._AC_SX466_.jpg
Intel Core i5-3330,,4,3.0,,Ivy Bridge,77,Intel HD Graphics 2500,https://m.media-amazon.com/images/I/31xyq-aMg5L._AC_.jpg
Intel Core i7-3930K,298.98,6,3.2,,Sandy Bridge,130,,https://m.media-amazon.com/images/I/519h7WsrBYL._AC_SX466_.jpg
AMD FX-4350,82.96,4,4.2,,Piledriver,125,,https://m.media-amazon.com/images/I/51g5KmJq5KL._AC_SX466_.jpg
Intel Xeon E5-2697 V2,,12,2.7,3.5,Ivy Bridge,130,,https://m.media-amazon.com/images/I/61ZJ0iUUOTL._AC_SX466_.jpg
Intel Core i7-6900K,279.0,8,3.2,3.7,Broadwell,140,,https://m.media-amazon.com/images/I/812WLoBXlfL._AC_SX466_.jpg
Intel Xeon E5-2683 V4,329.95,16,2.1,3.0,Broadwell,120,,https://m.media-amazon.com/images/I/81O8KuUuoxL._AC_SX466_.jpg
AMD EPYC 4364P,389.99,8,4.5,5.4,Zen 4,105,Radeon,https://m.media-amazon.com/images/I/51sUNMCtDpL._AC_SX466_.jpg
Intel Xeon E5-1620 V2,,4,3.7,3.9,Ivy Bridge,130,,https://m.media-amazon.com/images/I/618BDFLRn3L._AC_SX466_.jpg
AMD Ryzen 5 PRO 7645,,6,3.8,5.1,Zen 4,65,Radeon,https://m.media-amazon.com/images/I/51m7L9bQI8L._AC_SX466_.jpg
Intel Core i9-10940X,699.99,14,3.3,4.8,Cascade Lake,165,,https://m.media-amazon.com/images/I/61mBrF1jNuL._AC_SX466_.jpg
AMD FX-8370,257.01,8,4.0,4.3,Piledriver,125,,https://m.media-amazon.com/images/I/51B5tbV1fOL._AC_SX466_.jpg
Intel Core i7-8700T,279.95,6,2.4,4.0,Coffee Lake,35,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/611uRVeGXoL._AC_SX466_.jpg
AMD A8-7600,78.89,4,3.1,3.8,Steamroller,65,Radeon R7 (on-die),https://m.media-amazon.com/images/I/51m7L9bQI8L._AC_SX466_.jpg
Intel Xeon E5-2690 V4,,14,2.6,3.5,Broadwell,135,,https://m.media-amazon.com/images/I/51cXda4wIVL._AC_SX466_.jpg
Intel Core i5-8600K,,6,3.6,4.3,Coffee Lake,95,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/71GBCpzPaAL._AC_SX466_.jpg
Intel Core i5-13600,,14,2.7,5.0,Raptor Lake,65,Intel UHD Graphics 770,https://m.media-amazon.com/images/I/61LzzuUNhKL._AC_SX466_.jpg
Intel Celeron G5925,59.99,2,3.6,,Comet Lake,58,Intel UHD Graphics 610,https://m.media-amazon.com/images/I/61zRsgcoxIL._AC_SX466_.jpg
AMD EPYC 4584PX,,16,4.2,5.7,Zen 4,120,Radeon,https://m.media-amazon.com/images/I/41dQqXJ0o8L._AC_SX466_.jpg
Intel Core i7-860,50.0,4,2.8,,Nehalem,95,,https://m.media-amazon.com/images/I/61S-eag0utL._AC_SX466_.jpg
Intel Core i7-6700T,,4,2.8,3.6,Skylake,35,Intel HD Graphics 530,https://m.media-amazon.com/images/I/71LipNMcJ5L._AC_SX466_.jpg
Intel Xeon E5-2670 V3,,12,2.3,3.1,Haswell,120,,https://m.media-amazon.com/images/I/71W4eJV51LL._AC_SX466_.jpg
Intel Core i3-4160,,2,3.6,,Haswell Refresh,54,Intel HD Graphics 4400,https://m.media-amazon.com/images/I/61cP8fjHkGL._AC_SX466_.jpg
Intel Xeon E5-2699 V3,,18,2.3,3.6,Haswell,145,,https://m.media-amazon.com/images/I/710qNjG55FL._AC_SX466_.jpg
Intel Core i7-9700,335.01,8,3.0,4.7,Coffee Lake Refresh,65,Intel HD Graphics 630,https://m.media-amazon.com/images/I/716gjmLvNuL._AC_SX466_.jpg
Intel Pentium Gold G5400,115.69,2,3.7,,Coffee Lake,58,Intel UHD Graphics 610,https://m.media-amazon.com/images/I/918CieaBiqL._AC_SX466_.jpg
Intel Xeon E5-2680 V3,,12,2.5,3.3,Haswell,120,,https://m.media-amazon.com/images/I/81jC3EvIU6L._AC_SX466_.jpg
Intel Core i9-9980XE,1814.98,18,3.0,4.4,Skylake,165,,https://m.media-amazon.com/images/I/51xxm7JkJ6L._AC_SX466_.jpg
Intel Core i5-7400T,64.56,4,2.4,3.0,Kaby Lake,35,Intel HD Graphics 630,https://m.media-amazon.com/images/I/91oQbOQH0JL._AC_SX466_.jpg
Intel Core i7-7740X,378.88,4,4.3,4.5,Kaby Lake,112,,https://m.media-amazon.com/images/I/81jLTKbTvXL._AC_SX466_.jpg
Intel Core i7-9700F,279.0,8,3.0,4.7,Coffee Lake Refresh,65,,https://m.media-amazon.com/images/I/71i+vedHxIL._AC_SX466_.jpg
AMD Ryzen 7 PRO 7745,,8,3.8,5.3,Zen 4,65,Radeon,https://m.media-amazon.com/images/I/51hfER1cZVL._AC_SX466_.jpg
Intel Core i9-7980XE,1249.95,18,2.6,4.4,Skylake,165,,https://m.media-amazon.com/images/I/51AqEkc2BuL._AC_SX466_.jpg
Intel Core i7-990X Extreme Edition,,6,3.467,,Westmere,130,,https://m.media-amazon.com/images/I/61D6N3RF45L._AC_SX466_.jpg
Intel Core i7-3820,,4,3.6,,Sandy Bridge,130,,https://m.media-amazon.com/images/I/71J2KGDBNjL._AC_SX466_.jpg
Intel Core i5-3450,95.0,4,3.1,,Ivy Bridge,77,Intel HD Graphics 2500,https://m.media-amazon.com/images/I/71l1+BfZyGL._AC_SX466_.jpg
Intel Xeon E5-2650,69.94,8,2.0,2.8,Sandy Bridge,95,,https://m.media-amazon.com/images/I/51nGIyY95IL._AC_SX466_.jpg
AMD FX-4300,,4,3.8,,Piledriver,95,,https://m.media-amazon.com/images/I/81uNEDESDYL._AC_SX466_.jpg
AMD Ryzen 7 1700X,,8,3.4,3.8,Zen,95,,https://m.media-amazon.com/images/I/61d5eSkfnpL._AC_SX466_.jpg
Intel Core i5-9400,,6,2.9,4.1,Coffee Lake Refresh,65,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/81eoV5SY8RL._AC_SX466_.jpg
AMD FX-4350,55.05,4,4.2,,Piledriver,125,,https://m.media-amazon.com/images/I/51g5KmJq5KL._AC_SX466_.jpg
Intel Xeon E5-1630 V4,298.95,4,3.7,4.0,Broadwell,140,,https://m.media-amazon.com/images/I/91aS0njsTjL._AC_SX466_.jpg
Intel Core 2 Quad Q9300,42.6,4,2.5,,Yorkfield,95,,https://m.media-amazon.com/images/I/81U+dEh-UsL._AC_SX466_.jpg
Intel Xeon E5-2683 V4,1998.95,16,2.1,3.0,Broadwell,120,,https://m.media-amazon.com/images/I/81O8KuUuoxL._AC_SX466_.jpg
Intel Core i3-3240,199.0,2,3.4,,Ivy Bridge,55,Intel HD Graphics 2500,https://m.media-amazon.com/images/I/71uhsLM6njL._AC_SX466_.jpg
AMD A10-7700K,128.02,4,3.4,3.8,Steamroller,95,Radeon R7 (on-die),https://m.media-amazon.com/images/I/41CSC+BeXrL._AC_SX466_.jpg
Intel Core i5-9600KF,274.99,6,3.7,4.6,Coffee Lake Refresh,95,,https://m.media-amazon.com/images/I/81eoV5SY8RL._AC_SX466_.jpg
AMD Phenom II X6 1090T Black,291.98,6,3.2,,K10,125,,https://m.media-amazon.com/images/I/71wdTZXkokL._AC_SX466_.jpg
Intel Core i7-980X Extreme Edition,,6,3.33,,Westmere,130,,https://m.media-amazon.com/images/I/91QQ603Rh4L._AC_SX466_.jpg
Intel Core 2 Quad Q6600,,4,2.4,,Core,100,,https://m.media-amazon.com/images/I/51CJ6OTtJtL._AC_.jpg
Intel Xeon E5-1620 V3,111.0,4,3.5,3.6,Haswell,140,,https://m.media-amazon.com/images/I/41C5WTFh9zL._AC_SX466_.jpg
Intel Core i7-4820K,198.0,4,3.7,3.9,Ivy Bridge,130,,https://m.media-amazon.com/images/I/11rtOIDoTGL._AC_.jpg
Intel Xeon E5-2660 V3,149.94,10,2.6,3.3,Haswell,105,,https://m.media-amazon.com/images/I/71J5MnSqB+L._AC_SX466_.jpg
Intel Core i9-7960X,462.16,16,2.8,4.4,Skylake,165,,https://m.media-amazon.com/images/I/917LrxnqUxL._AC_SX466_.jpg
AMD FX-6120,58.53,6,3.5,4.1,Bulldozer,95,,https://m.media-amazon.com/images/I/614qlodNVuL._AC_SX466_.jpg
Intel Xeon E3-1230 V2,274.0,4,3.3,,Ivy Bridge,69,,https://m.media-amazon.com/images/I/71MN4114f4S._AC_SX466_.jpg
Intel Core i7-9800X,,8,3.8,4.5,Skylake,165,,https://m.media-amazon.com/images/I/51AqEkc2BuL._AC_SX466_.jpg
Intel Core i5-9500F,162.0,6,3.0,4.4,Coffee Lake Refresh,65,,https://m.media-amazon.com/images/I/71KOqCznI3L._AC_SX466_.jpg
Intel Core i5-8400T,113.37,6,1.7,3.3,Coffee Lake,35,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/61f9PJBb53L._AC_SX466_.jpg
Intel Xeon E3-1231 V3,,4,3.4,3.8,Haswell Refresh,80,,https://m.media-amazon.com/images/I/51cXda4wIVL._AC_SX466_.jpg
Intel Core i5-6400,,4,2.7,3.3,Skylake,65,Intel HD Graphics 530,https://m.media-amazon.com/images/I/81aeUW+UPhL._AC_SX466_.jpg
Intel Core i7-3770S,,4,3.1,,Ivy Bridge,65,Intel HD Graphics 4000,https://m.media-amazon.com/images/I/71SNn9NpzBL._AC_SY679_.jpg
Intel Xeon E5-2680,110.0,8,2.7,3.5,Sandy Bridge,130,,https://m.media-amazon.com/images/I/81jC3EvIU6L._AC_SX466_.jpg
Intel Core i5-9500T,,6,2.2,3.7,Coffee Lake Refresh,35,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/51nfZ4+pVcL._AC_SX466_.jpg
Intel Core i3-10100T,,4,3.0,3.8,Comet Lake,35,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/61m1lZf82OL._AC_SX466_.jpg
Intel Core i7-7700T,498.95,4,2.9,3.8,Kaby Lake,35,Intel HD Graphics 630,https://m.media-amazon.com/images/I/61soBo5YaNL._AC_SX466_.jpg
Intel Core i3-13100T,,4,2.5,4.2,Raptor Lake,35,Intel UHD Graphics 730,https://m.media-amazon.com/images/I/619GUXiTq6L._AC_SX466_.jpg
AMD Ryzen 7 PRO 7745,,8,3.8,5.3,Zen 4,65,Radeon,https://m.media-amazon.com/images/I/51hfER1cZVL._AC_SX466_.jpg
AMD FX-8350,192.49,8,4.0,,Piledriver,125,,https://m.media-amazon.com/images/I/614qlodNVuL._AC_SX466_.jpg
AMD A8-6600K,92.86,4,3.9,,Piledriver,100,Radeon HD 8570D,https://m.media-amazon.com/images/I/61qFTALnIwL._AC_SX466_.jpg
Intel Pentium G3258,124.99,2,3.2,,Haswell Refresh,53,Intel HD Graphics,https://m.media-amazon.com/images/I/71rt6DXy28L._AC_SX466_.jpg
Intel Core i5-650,,2,3.2,,Westmere,73,Intel HD Graphics,https://m.media-amazon.com/images/I/61aZXctbtaL._AC_SX466_.jpg
Intel Core i7-5775C,,4,3.3,3.7,Broadwell,65,Iris Pro Graphics 6200,https://m.media-amazon.com/images/I/51k9DlVz1QL._AC_.jpg
AMD 5350,,4,2.05,,Jaguar,25,Radeon HD 8400,https://m.media-amazon.com/images/I/51So7GoGvxL._AC_SX466_.jpg
AMD Ryzen 9 3950X,,16,3.5,4.7,Zen 2,105,,https://m.media-amazon.com/images/I/61ISSSA+x+L._AC_SX466_.jpg
Intel Core 2 Quad Q9650,,4,3.0,,Yorkfield,95,,https://m.media-amazon.com/images/I/61yZRQIcO+L._AC_SX466_.jpg
AMD Phenom II X6 1100T Black,,6,3.3,,K10,125,,https://m.media-amazon.com/images/I/71wdTZXkokL._AC_SX466_.jpg
Intel Core i7-4790S,,4,3.2,4.0,Haswell Refresh,65,Intel HD Graphics 4000,https://m.media-amazon.com/images/I/5172I5ePNcL._AC_.jpg
Intel Core i5-7500,,4,3.4,3.8,Kaby Lake,65,Intel HD Graphics 630,https://m.media-amazon.com/images/I/71GY6jdAVHL._AC_SX466_.jpg
AMD A10-7850K,139.84,4,3.7,4.0,Steamroller,95,Radeon R7 (on-die),https://m.media-amazon.com/images/I/41SP6Cw7d9L._AC_.jpg
Intel Celeron G3900,48.56,2,2.8,,Skylake,51,Intel HD Graphics 510,https://m.media-amazon.com/images/I/61b3brw1JvL._AC_SX466_.jpg
AMD Athlon II 160u,,1,1.8,,K10,20,,https://m.media-amazon.com/images/I/61WQw1tIlvL._AC_SX466_.jpg
Intel Xeon E5-2697 V3,,14,2.6,3.6,Haswell,145,,https://m.media-amazon.com/images/I/91+7v6NWdyL._AC_SX466_.jpg
AMD FX-8320,106.55,8,3.5,,Piledriver,125,,https://m.media-amazon.com/images/I/81v31DmsZcL._AC_SX466_.jpg
Intel Core i7-4770K,300.0,4,3.5,3.9,Haswell,84,Intel HD Graphics 4600,https://m.media-amazon.com/images/I/51WEL96lzkL._AC_SX466_.jpg
AMD FX-6350,,6,3.9,,Piledriver,125,,https://m.media-amazon.com/images/I/41YuieIyf8L._AC_SX466_.jpg
Intel Xeon E3-1270 V3,410.0,4,3.5,3.9,Haswell,80,,https://m.media-amazon.com/images/I/51cXda4wIVL._AC_SX466_.jpg
Intel Core i5-6402P,118.66,4,2.8,3.4,Skylake,65,Intel HD Graphics 510,https://m.media-amazon.com/images/I/51ugNYlDT1L._AC_SX466_.jpg
Intel Core i9-10850K,,10,3.6,5.2,Comet Lake,125,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/61hr7fNaHRL._AC_SX466_.jpg
Intel Core 2 Quad Q9550,52.55,4,2.83,,Yorkfield,95,,https://m.media-amazon.com/images/I/41u-nVs0VfL._AC_SX466_.jpg
Intel Core 2 Duo E7500,149.0,2,2.93,,Wolfdale,65,,https://m.media-amazon.com/images/I/51pVI+cdnNL._AC_SX466_.jpg
AMD FX-6300,62.51,6,3.5,,Piledriver,95,,https://m.media-amazon.com/images/I/81X4pIqFQ4L._AC_SX466_.jpg
Intel Core i7-950,84.15,4,3.06,,Nehalem,130,,https://m.media-amazon.com/images/I/51AqEkc2BuL._AC_SX466_.jpg
AMD A10-6800K,,4,4.1,,Piledriver,100,Radeon HD 8670D,https://m.media-amazon.com/images/I/51xv9dkwJbL._AC_SX466_.jpg
Intel Xeon E5-2695 V4,,18,2.1,3.3,Broadwell,120,,https://m.media-amazon.com/images/I/41Hs-Z+6sIL._AC_SX466_.jpg
Intel Core i7-3970X Extreme Edition,175.0,6,3.5,,Sandy Bridge,150,,https://m.media-amazon.com/images/I/91wsIL5zDGL._AC_SX466_.jpg
Intel Core i3-8100,120.32,4,3.6,,Coffee Lake,65,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/818KAP71ZBL._AC_SX466_.jpg
AMD A10-9700,127.71,4,3.5,3.8,Excavator,65,Radeon R7 (on-die),https://m.media-amazon.com/images/I/51qFncTA66L._AC_SX466_.jpg
Intel Core i5-4570S,,4,2.9,,Haswell,65,Intel HD Graphics 4600,https://m.media-amazon.com/images/I/71JqsogqiYL._AC_SX466_.jpg
AMD A8-7680,,4,3.5,3.8,Puma+,65,Radeon R7 (on-die),https://m.media-amazon.com/images/I/61IIbwz-+ML._AC_SX466_.jpg
Intel Core i3-10300,,4,3.7,4.4,Comet Lake,65,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/613qMkiCWjL._AC_SX466_.jpg
Intel Core i9-9900X,579.99,10,3.5,4.4,Skylake,165,,https://m.media-amazon.com/images/I/81xwZxY53TL._AC_SX466_.jpg
Intel Core i5-10600K,,6,4.1,4.8,Comet Lake,125,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/81eoV5SY8RL._AC_SX466_.jpg
Intel Core i5-4690,,4,3.5,3.9,Haswell Refresh,84,Intel HD Graphics 4600,https://m.media-amazon.com/images/I/51EO3vvyfvL._AC_SX466_.jpg
AMD Phenom II X4 820,52.64,4,2.8,,K10,95,,https://m.media-amazon.com/images/I/71wdTZXkokL._AC_SX466_.jpg
Intel Core i7-5820K,429.95,6,3.3,3.6,Haswell,140,,https://m.media-amazon.com/images/I/91i7qFINxJL._AC_SX466_.jpg
Intel Core i5-7400,184.6,4,3.0,3.5,Kaby Lake,65,Intel HD Graphics 630,https://m.media-amazon.com/images/I/61L3bJd5dyL._AC_SX466_.jpg
AMD Phenom II X4 965 Black,,4,3.4,,K10,125,,https://m.media-amazon.com/images/I/81fIpfsQqvL._AC_SX466_.jpg
Intel Core 2 Extreme QX9770,,4,3.2,,Yorkfield,136,,https://m.media-amazon.com/images/I/315AxmFi2oL._AC_.jpg
Intel Core i5-6500T,,4,2.5,3.1,Skylake,35,Intel HD Graphics 530,https://m.media-amazon.com/images/I/51XzIVYaucL._AC_SX466_.jpg
Intel Core i7-870,,4,2.93,,Nehalem,95,,https://m.media-amazon.com/images/I/61Gi1+999qL._AC_SX466_.jpg
Intel Core i5-6500T,229.95,4,2.5,3.1,Skylake,35,Intel HD Graphics 530,https://m.media-amazon.com/images/I/51XzIVYaucL._AC_SX466_.jpg
Intel Core i3-6300,99.99,2,3.8,,Skylake,51,Intel HD Graphics 530,https://m.media-amazon.com/images/I/71TAF2Z73uL._AC_SX466_.jpg
Intel Xeon E5-2640 V4,,10,2.4,3.4,Broadwell,90,,https://m.media-amazon.com/images/I/81jC3EvIU6L._AC_SX466_.jpg
Intel Core i7-3960X Extreme Edition,320.0,6,3.3,,Sandy Bridge,130,,https://m.media-amazon.com/images/I/419AvRsLF3L._AC_.jpg
Intel Xeon E5-2680 V2,,10,2.8,3.6,Ivy Bridge,115,,https://m.media-amazon.com/images/I/71S0F4VQgTL._AC_SX466_.jpg
AMD A10-7800,,4,3.5,3.9,Steamroller,65,Radeon R7 (on-die),https://m.media-amazon.com/images/I/81-NpR0VO1L._AC_SY606_.jpg
Intel Core i7-10700K Avengers Collector's Edition,741.0,8,3.8,5.1,Comet Lake,125,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/71P3chRzgNL._AC_SX466_.jpg
Intel Core i5-3550,299.0,4,3.3,,Ivy Bridge,77,Intel HD Graphics 2500,https://m.media-amazon.com/images/I/51Kws4ObreL._AC_SX466_.jpg
Intel Core i3-7350K,115.0,2,4.2,,Kaby Lake,60,Intel HD Graphics 630,https://m.media-amazon.com/images/I/518VnnWnMIL._AC_SX466_.jpg
Intel Xeon E5-2630,47.66,6,2.3,,Sandy Bridge,95,,https://m.media-amazon.com/images/I/416zTkxRD9L._AC_SX466_.jpg
AMD Athlon X4 860K,,4,3.7,4.0,Steamroller,95,,https://m.media-amazon.com/images/I/81Iur547f0L._AC_SX466_.jpg
Intel Pentium G4600,,2,3.6,,Kaby Lake,51,Intel HD Graphics 630,https://m.media-amazon.com/images/I/61-XPn0Ri8L._AC_SX466_.jpg
Intel Xeon E-2288G,,8,3.7,5.0,Coffee Lake Refresh,95,Intel HD Graphics P630,https://m.media-amazon.com/images/I/51eHNGHFMXL._AC_SX466_.jpg
Intel Xeon E5-2695 V3,,14,2.3,3.3,Haswell,120,,https://m.media-amazon.com/images/I/41Hs-Z+6sIL._AC_SX466_.jpg
Intel Core i7-4770K,99.0,4,3.5,3.9,Haswell,84,Intel HD Graphics 4600,https://m.media-amazon.com/images/I/51WEL96lzkL._AC_SX466_.jpg
Intel Core i7-7740X,209.95,4,4.3,4.5,Kaby Lake,112,,https://m.media-amazon.com/images/I/81jLTKbTvXL._AC_SX466_.jpg
Intel Pentium Gold G6405,94.99,2,4.1,,Comet Lake,58,Intel UHD Graphics 610,https://m.media-amazon.com/images/I/61dZUuXIU3L._AC_SX466_.jpg
Intel Core i5-2320,,4,3.0,,Sandy Bridge,95,Intel HD Graphics 2000,https://m.media-amazon.com/images/I/51XzIVYaucL._AC_SX466_.jpg
Intel Core i5-4590S,,4,3.0,3.7,Haswell Refresh,65,Intel HD Graphics 4000,https://m.media-amazon.com/images/I/81FWf9Uo++L._AC_SX466_.jpg
Intel Core i3-7100,76.77,2,3.9,,Kaby Lake,51,Intel HD Graphics 630,https://m.media-amazon.com/images/I/81Tts66fxAL._AC_SX466_.jpg
Intel Core i3-9100T,,4,3.1,3.7,Coffee Lake Refresh,35,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/71utbcF8g8L._AC_SX466_.jpg
Intel Core i5-760,,4,2.8,,Nehalem,95,,https://m.media-amazon.com/images/I/91CBhrET2JL._AC_SX466_.jpg
Intel Pentium G645,40.99,2,2.9,,Sandy Bridge,65,Intel HD Graphics 2500,https://m.media-amazon.com/images/I/71EGQjSpF6L._AC_SX466_.jpg
Intel Xeon E3-1240 V2,400.0,4,3.4,,Ivy Bridge,69,,https://m.media-amazon.com/images/I/71DsBKmiIJL._AC_SX466_.jpg
Intel Core i3-7320,59.0,2,4.1,,Kaby Lake,51,Intel HD Graphics 630,https://m.media-amazon.com/images/I/81Tts66fxAL._AC_SX466_.jpg
Intel Xeon E5-1620 V4,232.12,4,3.5,3.8,Broadwell,140,,https://m.media-amazon.com/images/I/517OrEWsqlL._AC_SX466_.jpg
Intel Core i3-10320,120.0,4,3.8,4.6,Comet Lake,65,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/613qMkiCWjL._AC_SX466_.jpg
AMD FX-4100,,4,3.6,,Bulldozer,95,,https://m.media-amazon.com/images/I/815GxyXjZEL._AC_SY679_.jpg
Intel Xeon E3-1240L V5,,4,2.1,3.2,Skylake,25,,https://m.media-amazon.com/images/I/71DsBKmiIJL._AC_SX466_.jpg
Intel Xeon E3-1245 V6,120.0,4,3.7,4.1,Kaby Lake,73,Intel HD Graphics P630,https://m.media-amazon.com/images/I/61XxBEM+p2S._AC_SX466_.jpg
Intel Xeon E5-1660 V3,204.44,8,3.0,3.5,Haswell,140,,https://m.media-amazon.com/images/I/41gfZhCKO3L._AC_.jpg
Intel Celeron G3930,29.0,2,2.9,,Kaby Lake,51,Intel HD Graphics 610,https://m.media-amazon.com/images/I/61mLWjewyvL._AC_SX466_.jpg
Intel Core i3-2120T,40.0,2,2.6,,Sandy Bridge,35,Intel HD Graphics 2000,https://m.media-amazon.com/images/I/618W+MZ7PEL._AC_SX679_.jpg
Intel Core i7-4771,,4,3.5,3.9,Haswell,84,Intel HD Graphics 4600,https://m.media-amazon.com/images/I/71i-ZlDGVxL._AC_SX466_.jpg
AMD A8-7650K,,4,3.3,3.7,Steamroller,95,Radeon R7 (on-die),https://m.media-amazon.com/images/I/61lRub-1ZSL._AC_SX466_.jpg
Intel Core i5-7600K,,4,3.8,4.2,Kaby Lake,91,Intel HD Graphics 630,https://m.media-amazon.com/images/I/71MB7hpiDWL._AC_SX466_.jpg
Intel Core i9-9900T,,8,2.1,4.4,Coffee Lake Refresh,35,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/61qUfPKfqJL._AC_SX466_.jpg
Intel Core i5-8500,170.0,6,3.0,4.1,Coffee Lake,65,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/91OeIuA2SBL._AC_SX466_.jpg
Intel Core i5-3470S,,4,2.9,,Ivy Bridge,65,Intel HD Graphics 2500,https://m.media-amazon.com/images/I/71qxWXH08fL._AC_SX466_.jpg
